Date,Open,High,Low,Close,Adj Close,Volume
2003-07-09,164.89999389648438,170.39999389648438,155.0,164.3000030517578,143.94973754882812,35164284.0
2003-07-10,167.0,168.6999969482422,164.5,167.0,146.31533813476562,10464179.0
2003-07-11,167.75,174.85000610351562,166.25,173.35000610351562,151.8788299560547,11740117.0
2003-07-14,174.25,179.25,174.25,177.9499969482422,155.90902709960938,5982324.0
2003-07-15,200.0,200.0,173.0,176.1999969482422,154.37579345703125,6173689.0
2003-07-16,176.4499969482422,179.10000610351562,175.35000610351562,177.10000610351562,155.16436767578125,3759085.0
2003-07-17,177.5,178.0,170.64999389648438,172.1999969482422,150.87124633789062,3814181.0
2003-07-18,165.0,171.89999389648438,160.0,167.39999389648438,146.665771484375,5375212.0
2003-07-21,169.0,169.39999389648438,163.0500030517578,164.89999389648438,144.47544860839844,3315845.0
2003-07-22,164.0,169.14999389648438,162.10000610351562,167.25,146.5343475341797,4627992.0
2003-07-23,170.5,178.0,169.8000030517578,174.6999969482422,153.06158447265625,13262249.0
2003-07-24,175.89999389648438,177.0,172.85000610351562,174.10000610351562,152.53591918945312,4305936.0
2003-07-25,174.39999389648438,175.0,172.10000610351562,173.64999389648438,152.14170837402344,2832967.0
2003-07-28,188.0,188.0,175.10000610351562,178.85000610351562,156.69760131835938,5415867.0
2003-07-29,179.9499969482422,182.89999389648438,179.10000610351562,180.3000030517578,157.96800231933594,5229181.0
2003-07-30,181.25,184.75,180.10000610351562,181.10000610351562,158.66888427734375,4632246.0
2003-07-31,181.6999969482422,183.64999389648438,179.64999389648438,180.85000610351562,158.4498748779297,3562717.0
2003-08-01,182.0,189.0,178.75,187.14999389648438,163.9695281982422,8027285.0
2003-08-04,187.85000610351562,198.5,185.0,197.60000610351562,173.12521362304688,9982429.0
2003-08-05,199.0,203.4499969482422,192.85000610351562,193.60000610351562,169.62063598632812,9651327.0
2003-08-06,191.5,197.5,189.85000610351562,191.60000610351562,167.8683624267578,7451054.0
2003-08-07,193.5,196.0,192.25,195.39999389648438,171.1976776123047,3223676.0
2003-08-08,197.0,198.89999389648438,196.0,197.14999389648438,172.7309112548828,2530289.0
2003-08-11,198.10000610351562,203.8000030517578,196.0,202.1999969482422,177.1554412841797,5651311.0
2003-08-12,203.8000030517578,212.0,203.5,210.4499969482422,184.3836212158203,8215213.0
2003-08-13,213.0,219.5,212.0,217.8000030517578,190.82321166992188,7839204.0
2003-08-14,223.0,224.39999389648438,215.0,216.5500030517578,189.72802734375,6298655.0
2003-08-15,216.5500030517578,216.5500030517578,216.5500030517578,216.5500030517578,189.72802734375,0.0
2003-08-18,218.10000610351562,221.0,215.39999389648438,216.89999389648438,190.0347137451172,3382031.0
2003-08-19,219.85000610351562,219.89999389648438,215.0,215.64999389648438,188.9395294189453,3080091.0
2003-08-20,217.39999389648438,226.4499969482422,217.3000030517578,225.0,197.13143920898438,6049174.0
2003-08-21,227.0,228.89999389648438,223.3000030517578,227.9499969482422,199.71603393554688,4012069.0
2003-08-22,228.0500030517578,232.8000030517578,225.89999389648438,229.3000030517578,200.89881896972656,4436016.0
2003-08-25,230.0,231.4499969482422,216.10000610351562,221.0500030517578,193.67068481445312,4827198.0
2003-08-26,217.0,235.0,217.0,232.4499969482422,203.65866088867188,3968069.0
2003-08-27,235.39999389648438,237.60000610351562,233.0,234.3000030517578,205.27952575683594,2267859.0
2003-08-28,235.75,235.75,226.0,228.0500030517578,199.80368041992188,3554363.0
2003-08-29,232.0500030517578,238.5,231.5,235.39999389648438,206.24327087402344,3212067.0
2003-09-01,236.39999389648438,237.0,231.6999969482422,235.5500030517578,206.37469482421875,2478236.0
2003-09-02,234.85000610351562,234.85000610351562,224.10000610351562,226.5500030517578,198.48947143554688,3975812.0
2003-09-03,227.10000610351562,231.75,221.0,222.8000030517578,195.20391845703125,3945233.0
2003-09-04,223.0,225.6999969482422,218.4499969482422,221.5500030517578,194.10873413085938,3682478.0
2003-09-05,223.89999389648438,230.0,222.39999389648438,229.3000030517578,200.89881896972656,2971415.0
